date,sales,qty,product,category,region,profit
2023-01-05,2376.66,2,Headset Pro,Eletrônicos,Nordeste,308.89
2023-01-05,5184.86,4,Smart Monitor 27,Eletrônicos,Norte,736.63
2023-01-05,10568.3,4,Mouse Wireless,Acessórios,Norte,2914.26
2023-01-06,9723.46,2,Notebook Pro X,Eletrônicos,Sudeste,3311.93
2023-01-06,7023.78,2,Cadeira Gamer,Home Office,Centro-Oeste,1953.09
2023-01-06,1495.72,1,Smart Monitor 27,Eletrônicos,Centro-Oeste,163.36
2023-01-06,4885.41,1,Mouse Wireless,Acessórios,Centro-Oeste,990.56
2023-01-06,4396.1,3,Mesa Escritório,Home Office,Sul,1437.82
2023-01-07,1619.97,2,Cadeira Gamer,Home Office,Nordeste,360.22
2023-01-07,11236.7,4,Headset Pro,Eletrônicos,Sul,2788.66
2023-01-07,11495.81,3,Webcam HD,Eletrônicos,Nordeste,1832.54
2023-01-07,12106.15,3,Mouse Wireless,Acessórios,Sudeste,2634.0
2023-01-07,6408.59,2,Mesa Escritório,Home Office,Centro-Oeste,1499.25
2023-01-07,16047.56,4,Mouse Wireless,Acessórios,Norte,2209.42
2023-01-07,3041.82,3,Cadeira Gamer,Home Office,Nordeste,335.19
2023-01-08,13680.26,4,Headset Pro,Eletrônicos,Centro-Oeste,1424.76
2023-01-08,12199.67,3,Mesa Escritório,Home Office,Norte,2283.37
2023-01-08,2863.19,3,Notebook Pro X,Eletrônicos,Norte,780.89
2023-01-08,10547.93,4,Teclado Mecânico,Acessórios,Centro-Oeste,3263.82
2023-01-08,5313.68,3,Headset Pro,Eletrônicos,Norte,682.11
2023-01-08,8259.29,3,Cadeira Gamer,Home Office,Sul,2262.6
2023-01-08,10001.77,3,Mesa Escritório,Home Office,Norte,3043.59
2023-01-08,2631.52,1,Smart Monitor 27,Eletrônicos,Centro-Oeste,434.75
2023-01-09,19322.22,4,Cadeira Gamer,Home Office,Nordeste,4629.09
2023-01-09,12808.79,4,Teclado Mecânico,Acessórios,Sul,2366.52
2023-01-09,10595.26,3,Cadeira Gamer,Home Office,Sudeste,3302.17
2023-01-09,17786.89,4,Teclado Mecânico,Acessórios,Sudeste,5246.58
2023-01-09,17078.2,4,Mesa Escritório,Home Office,Sudeste,5702.56
2023-01-10,6756.08,2,Mouse Wireless,Acessórios,Sudeste,1656.4
2023-01-10,2388.84,4,Webcam HD,Eletrônicos,Centro-Oeste,635.13
2023-01-10,1491.21,1,Smart Monitor 27,Eletrônicos,Nordeste,262.96
2023-01-10,6980.57,2,Mouse Wireless,Acessórios,Sudeste,1835.82
2023-01-10,962.03,1,Notebook Pro X,Eletrônicos,Sudeste,100.55
2023-01-10,3388.92,2,Mouse Wireless,Acessórios,Sudeste,971.34
2023-01-10,14985.74,4,Webcam HD,Eletrônicos,Norte,4199.53
2023-01-10,11538.85,4,Mouse Wireless,Acessórios,Sudeste,1424.11
2023-01-11,2798.98,2,Webcam HD,Eletrônicos,Sudeste,450.63
2023-01-11,9793.15,2,Headset Pro,Eletrônicos,Centro-Oeste,2171.0
2023-01-11,12770.32,4,Headset Pro,Eletrônicos,Sul,3814.53
2023-01-11,6522.01,2,Teclado Mecânico,Acessórios,Sul,1742.88
2023-01-11,1056.69,1,Webcam HD,Eletrônicos,Centro-Oeste,296.52
2023-01-11,8708.46,3,Teclado Mecânico,Acessórios,Sul,2544.08
2023-01-11,3871.37,4,Teclado Mecânico,Acessórios,Norte,1297.35
2023-01-12,3827.56,2,Notebook Pro X,Eletrônicos,Norte,397.55
2023-01-12,6882.71,4,Webcam HD,Eletrônicos,Sudeste,1639.4
2023-01-12,14465.21,3,Notebook Pro X,Eletrônicos,Sudeste,4531.26
2023-01-12,4793.75,3,Webcam HD,Eletrônicos,Sul,708.17
2023-01-12,1652.92,1,Headset Pro,Eletrônicos,Centro-Oeste,235.33
2023-01-12,2033.99,1,Cadeira Gamer,Home Office,Sudeste,632.68
2023-01-12,8679.9,3,Teclado Mecânico,Acessórios,Nordeste,1078.86
2023-01-12,13554.41,4,Notebook Pro X,Eletrônicos,Sul,2570.75
2023-01-12,7919.45,3,Webcam HD,Eletrônicos,Sul,2529.02
2023-01-13,14061.51,4,Teclado Mecânico,Acessórios,Sul,3875.65
2023-01-13,11235.27,4,Smart Monitor 27,Eletrônicos,Centro-Oeste,1956.37
2023-01-13,8139.11,2,Webcam HD,Eletrônicos,Centro-Oeste,2578.21
2023-01-13,499.81,1,Webcam HD,Eletrônicos,Centro-Oeste,50.63
2023-01-13,16046.59,4,Notebook Pro X,Eletrônicos,Nordeste,4212.08
2023-01-14,705.97,3,Webcam HD,Eletrônicos,Centro-Oeste,172.76
2023-01-14,11734.29,4,Smart Monitor 27,Eletrônicos,Centro-Oeste,1278.87
2023-01-14,859.7,1,Smart Monitor 27,Eletrônicos,Sul,296.99
2023-01-14,5990.17,2,Headset Pro,Eletrônicos,Centro-Oeste,644.69
2023-01-14,1161.16,4,Webcam HD,Eletrônicos,Norte,204.15
2023-01-14,2167.79,3,Smart Monitor 27,Eletrônicos,Sul,499.81
2023-01-14,1430.56,1,Smart Monitor 27,Eletrônicos,Sudeste,488.27
2023-01-15,16903.65,4,Notebook Pro X,Eletrônicos,Sul,2511.8
2023-01-15,5498.22,2,Mesa Escritório,Home Office,Centro-Oeste,1426.01
2023-01-15,3001.81,4,Notebook Pro X,Eletrônicos,Norte,1027.77
2023-01-15,3364.97,2,Mouse Wireless,Acessórios,Sul,1005.44
2023-01-15,6672.75,3,Notebook Pro X,Eletrônicos,Norte,1908.48
2023-01-15,448.44,2,Webcam HD,Eletrônicos,Centro-Oeste,152.77
2023-01-15,6596.22,3,Mesa Escritório,Home Office,Nordeste,1795.0
2023-01-15,949.14,1,Teclado Mecânico,Acessórios,Sul,132.03
2023-01-15,2549.92,2,Webcam HD,Eletrônicos,Nordeste,314.83
2023-01-15,3334.97,1,Mesa Escritório,Home Office,Sul,566.89
2023-01-15,10527.25,4,Mouse Wireless,Acessórios,Norte,2782.12
2023-01-16,7354.39,2,Mouse Wireless,Acessórios,Centro-Oeste,823.17
2023-01-16,3688.53,2,Smart Monitor 27,Eletrônicos,Sudeste,1067.69
2023-01-16,1775.21,1,Webcam HD,Eletrônicos,Sul,218.26
2023-01-16,898.71,3,Teclado Mecânico,Acessórios,Nordeste,282.07
2023-01-16,3836.47,4,Headset Pro,Eletrônicos,Nordeste,400.11
2023-01-16,5017.84,2,Smart Monitor 27,Eletrônicos,Nordeste,1095.73
2023-01-16,2376.9,1,Webcam HD,Eletrônicos,Centro-Oeste,623.8
2023-01-16,6235.33,2,Notebook Pro X,Eletrônicos,Nordeste,1613.54
2023-01-16,2756.76,2,Webcam HD,Eletrônicos,Sul,286.22
2023-01-17,5110.19,2,Mouse Wireless,Acessórios,Norte,1200.1
2023-01-17,898.38,1,Mesa Escritório,Home Office,Nordeste,105.69
2023-01-17,14180.5,3,Headset Pro,Eletrônicos,Nordeste,4492.38
2023-01-17,18828.51,4,Mouse Wireless,Acessórios,Sudeste,4591.68
2023-01-17,5819.0,2,Mesa Escritório,Home Office,Norte,768.84
2023-01-17,2773.52,1,Headset Pro,Eletrônicos,Nordeste,930.15
2023-01-17,12360.27,3,Cadeira Gamer,Home Office,Centro-Oeste,3249.16
2023-01-18,562.77,1,Mesa Escritório,Home Office,Sul,152.37
2023-01-18,3313.04,1,Mouse Wireless,Acessórios,Nordeste,650.51
2023-01-18,428.06,2,Headset Pro,Eletrônicos,Sul,129.97
2023-01-18,2530.58,1,Teclado Mecânico,Acessórios,Norte,691.41
2023-01-18,6363.64,2,Smart Monitor 27,Eletrônicos,Sul,2032.34
2023-01-18,8591.74,4,Headset Pro,Eletrônicos,Sudeste,2937.47
2023-01-19,4350.02,2,Mesa Escritório,Home Office,Nordeste,1053.27
2023-01-19,14860.43,3,Mouse Wireless,Acessórios,Sudeste,3018.96
2023-01-19,2650.16,2,Teclado Mecânico,Acessórios,Nordeste,649.65
2023-01-19,13982.13,3,Notebook Pro X,Eletrônicos,Nordeste,4398.82
2023-01-19,3431.24,1,Mouse Wireless,Acessórios,Centro-Oeste,977.82
2023-01-19,1815.92,3,Mesa Escritório,Home Office,Sudeste,591.33
2023-01-19,5066.3,2,Headset Pro,Eletrônicos,Sul,1000.11
2023-01-19,4488.06,1,Mesa Escritório,Home Office,Sul,885.5
2023-01-20,1641.91,3,Mesa Escritório,Home Office,Norte,295.26
2023-01-20,6832.35,2,Mouse Wireless,Acessórios,Norte,1507.42
2023-01-20,6392.0,2,Headset Pro,Eletrônicos,Centro-Oeste,1355.82
2023-01-20,9155.88,3,Mouse Wireless,Acessórios,Sul,2183.0
2023-01-20,3786.64,1,Mesa Escritório,Home Office,Sudeste,1128.02
2023-01-20,655.98,1,Teclado Mecânico,Acessórios,Centro-Oeste,218.26
2023-01-20,764.08,2,Webcam HD,Eletrônicos,Sudeste,181.38
2023-01-20,3711.47,1,Headset Pro,Eletrônicos,Sudeste,877.69
2023-01-20,2020.89,3,Teclado Mecânico,Acessórios,Nordeste,274.33
2023-01-20,8402.25,2,Webcam HD,Eletrônicos,Centro-Oeste,2661.14
2023-01-20,1024.25,2,Mesa Escritório,Home Office,Nordeste,281.92
2023-01-20,4087.19,2,Notebook Pro X,Eletrônicos,Sul,1320.06
2023-01-20,997.22,2,Webcam HD,Eletrônicos,Centro-Oeste,120.87
2023-01-21,7735.71,4,Notebook Pro X,Eletrônicos,Sudeste,1490.37
2023-01-21,5039.03,4,Smart Monitor 27,Eletrônicos,Norte,1647.38
2023-01-21,3791.55,1,Notebook Pro X,Eletrônicos,Sudeste,735.81
2023-01-21,7380.5,3,Webcam HD,Eletrônicos,Centro-Oeste,1435.49
2023-01-21,6536.06,3,Mesa Escritório,Home Office,Nordeste,2134.6
2023-01-21,6686.44,3,Teclado Mecânico,Acessórios,Nordeste,1092.7
2023-01-21,4792.87,2,Webcam HD,Eletrônicos,Centro-Oeste,546.75
2023-01-22,4131.67,1,Mesa Escritório,Home Office,Norte,1181.88
2023-01-22,8875.52,3,Headset Pro,Eletrônicos,Norte,3022.5
2023-01-22,7322.41,3,Headset Pro,Eletrônicos,Sudeste,883.98
2023-01-22,1195.62,1,Smart Monitor 27,Eletrônicos,Sul,407.47
2023-01-22,19566.85,4,Cadeira Gamer,Home Office,Centro-Oeste,4676.5
2023-01-22,13399.8,3,Notebook Pro X,Eletrônicos,Centro-Oeste,3107.75
2023-01-22,13811.0,3,Smart Monitor 27,Eletrônicos,Nordeste,2254.61
2023-01-22,14548.75,3,Mesa Escritório,Home Office,Sudeste,3357.48
2023-01-22,1162.36,1,Mesa Escritório,Home Office,Centro-Oeste,201.81
2023-01-22,3175.03,1,Mouse Wireless,Acessórios,Centro-Oeste,781.31
2023-01-22,14847.17,4,Headset Pro,Eletrônicos,Sul,4881.95
2023-01-22,9514.03,2,Mouse Wireless,Acessórios,Nordeste,3068.9
2023-01-23,6978.94,4,Mouse Wireless,Acessórios,Sul,993.94
2023-01-23,9488.49,4,Mouse Wireless,Acessórios,Centro-Oeste,1787.04
2023-01-23,2806.19,2,Mouse Wireless,Acessórios,Norte,533.42
2023-01-23,19729.73,4,Webcam HD,Eletrônicos,Centro-Oeste,5416.61
2023-01-23,1470.84,1,Mesa Escritório,Home Office,Norte,298.29
2023-01-23,3455.18,1,Notebook Pro X,Eletrônicos,Centro-Oeste,485.99
2023-01-23,946.76,2,Mouse Wireless,Acessórios,Sul,317.29
2023-01-23,10968.08,3,Cadeira Gamer,Home Office,Nordeste,2778.8
2023-01-23,1010.93,2,Cadeira Gamer,Home Office,Sul,322.66
2023-01-23,964.71,3,Smart Monitor 27,Eletrônicos,Sudeste,102.83
2023-01-23,3910.25,1,Webcam HD,Eletrônicos,Norte,860.62
2023-01-23,2511.13,3,Notebook Pro X,Eletrônicos,Centro-Oeste,624.1
2023-01-24,8325.81,2,Mouse Wireless,Acessórios,Nordeste,2017.1
2023-01-24,2396.6,1,Webcam HD,Eletrônicos,Sudeste,488.2
2023-01-24,166.99,1,Smart Monitor 27,Eletrônicos,Sul,19.85
2023-01-24,16332.86,4,Webcam HD,Eletrônicos,Norte,5715.35
2023-01-24,9149.02,2,Notebook Pro X,Eletrônicos,Norte,2253.29
2023-01-24,4729.35,1,Webcam HD,Eletrônicos,Norte,1477.51
2023-01-24,1281.32,1,Smart Monitor 27,Eletrônicos,Nordeste,193.81
2023-01-24,4774.85,1,Mesa Escritório,Home Office,Sul,1201.08
2023-01-24,8806.56,2,Mouse Wireless,Acessórios,Norte,2547.3
2023-01-24,3709.99,2,Smart Monitor 27,Eletrônicos,Centro-Oeste,476.32
2023-01-24,5082.02,2,Headset Pro,Eletrônicos,Centro-Oeste,1113.23
2023-01-24,7946.4,3,Teclado Mecânico,Acessórios,Sul,2487.58
2023-01-24,9686.14,2,Teclado Mecânico,Acessórios,Nordeste,1182.7
2023-01-25,756.67,1,Webcam HD,Eletrônicos,Norte,81.11
2023-01-25,11834.62,3,Notebook Pro X,Eletrônicos,Norte,3075.11
2023-01-25,3430.57,3,Mouse Wireless,Acessórios,Norte,460.02
2023-01-25,19617.07,4,Webcam HD,Eletrônicos,Centro-Oeste,4943.93
2023-01-25,4043.99,2,Cadeira Gamer,Home Office,Centro-Oeste,846.69
2023-01-25,10978.04,3,Teclado Mecânico,Acessórios,Norte,2600.28
2023-01-25,3939.9,1,Headset Pro,Eletrônicos,Sul,784.57
2023-01-25,7996.95,3,Smart Monitor 27,Eletrônicos,Centro-Oeste,2194.45
2023-01-25,820.66,1,Notebook Pro X,Eletrônicos,Sul,272.17
2023-01-25,7735.39,2,Headset Pro,Eletrônicos,Norte,901.63
2023-01-25,4902.16,1,Smart Monitor 27,Eletrônicos,Centro-Oeste,1093.94
2023-01-25,1124.74,1,Notebook Pro X,Eletrônicos,Nordeste,275.46
2023-01-25,1415.19,3,Notebook Pro X,Eletrônicos,Centro-Oeste,187.12
2023-01-26,3377.29,4,Headset Pro,Eletrônicos,Sul,454.94
2023-01-26,3929.32,4,Headset Pro,Eletrônicos,Centro-Oeste,1077.13
2023-01-26,4494.26,1,Webcam HD,Eletrônicos,Sudeste,981.95
2023-01-26,4868.24,1,Mesa Escritório,Home Office,Nordeste,1219.42
2023-01-26,900.77,3,Mouse Wireless,Acessórios,Sul,128.12
2023-01-26,7213.34,4,Headset Pro,Eletrônicos,Centro-Oeste,778.69
2023-01-26,1382.23,2,Headset Pro,Eletrônicos,Sul,297.45
2023-01-26,8963.33,2,Cadeira Gamer,Home Office,Sul,1184.84
2023-01-26,6965.87,2,Cadeira Gamer,Home Office,Norte,765.05
2023-01-26,2457.61,1,Mouse Wireless,Acessórios,Centro-Oeste,668.34
2023-01-26,17522.14,4,Teclado Mecânico,Acessórios,Nordeste,5786.13
2023-01-27,8709.35,2,Mesa Escritório,Home Office,Nordeste,1054.96
2023-01-27,3012.46,3,Cadeira Gamer,Home Office,Norte,458.91
2023-01-27,13883.41,3,Cadeira Gamer,Home Office,Sul,2207.87
2023-01-27,7630.71,4,Smart Monitor 27,Eletrônicos,Sudeste,1645.44
2023-01-27,405.47,1,Headset Pro,Eletrônicos,Sul,55.52
2023-01-28,10401.33,3,Webcam HD,Eletrônicos,Centro-Oeste,3235.96
2023-01-28,8122.07,3,Webcam HD,Eletrônicos,Centro-Oeste,1029.82
2023-01-28,3670.64,2,Teclado Mecânico,Acessórios,Sul,731.52
2023-01-28,5677.17,4,Headset Pro,Eletrônicos,Nordeste,1103.19
2023-01-28,5726.86,2,Smart Monitor 27,Eletrônicos,Sudeste,1776.34
2023-01-28,3409.47,2,Headset Pro,Eletrônicos,Nordeste,443.03
2023-01-28,1780.34,1,Cadeira Gamer,Home Office,Sudeste,388.99
2023-01-29,9837.7,3,Webcam HD,Eletrônicos,Nordeste,2163.27
2023-01-29,10927.29,4,Smart Monitor 27,Eletrônicos,Sul,2695.87
2023-01-29,11896.09,4,Cadeira Gamer,Home Office,Norte,2868.32
2023-01-29,2981.0,2,Notebook Pro X,Eletrônicos,Sudeste,568.69
2023-01-29,6154.04,2,Mouse Wireless,Acessórios,Nordeste,991.34
2023-01-29,14801.77,3,Headset Pro,Eletrônicos,Centro-Oeste,3721.81
2023-01-29,136.92,1,Teclado Mecânico,Acessórios,Sudeste,21.4
2023-01-29,2610.39,2,Mouse Wireless,Acessórios,Centro-Oeste,365.9
2023-01-29,1591.95,3,Smart Monitor 27,Eletrônicos,Nordeste,479.92
2023-01-29,17976.6,4,Mouse Wireless,Acessórios,Sul,2158.24
2023-01-29,568.16,3,Webcam HD,Eletrônicos,Norte,155.81
2023-01-29,2595.96,4,Cadeira Gamer,Home Office,Nordeste,517.8
2023-01-29,18380.95,4,Teclado Mecânico,Acessórios,Nordeste,1862.45
2023-01-29,2727.45,2,Mouse Wireless,Acessórios,Nordeste,389.27
2023-01-30,9307.88,2,Teclado Mecânico,Acessórios,Centro-Oeste,2226.36
2023-01-30,9741.74,4,Notebook Pro X,Eletrônicos,Sudeste,3016.49
2023-01-30,1016.51,1,Teclado Mecânico,Acessórios,Sul,183.91
2023-01-30,3232.75,3,Mouse Wireless,Acessórios,Centro-Oeste,918.3
2023-01-30,2650.8,4,Webcam HD,Eletrônicos,Sudeste,669.74
2023-01-30,2110.89,4,Headset Pro,Eletrônicos,Norte,478.17
2023-01-30,7372.76,3,Webcam HD,Eletrônicos,Sul,1718.94
2023-01-31,3498.72,2,Webcam HD,Eletrônicos,Sul,467.44
2023-01-31,8369.15,3,Mouse Wireless,Acessórios,Nordeste,1258.99
2023-01-31,16273.54,4,Webcam HD,Eletrônicos,Sudeste,2663.33
2023-01-31,113.28,1,Teclado Mecânico,Acessórios,Centro-Oeste,14.63
2023-01-31,7232.17,3,Mesa Escritório,Home Office,Sudeste,1467.84
2023-02-01,4170.04,1,Notebook Pro X,Eletrônicos,Sul,1423.05
2023-02-01,9342.79,2,Smart Monitor 27,Eletrônicos,Centro-Oeste,3248.79
2023-02-01,1976.08,2,Smart Monitor 27,Eletrônicos,Nordeste,230.46
2023-02-01,14543.29,4,Mouse Wireless,Acessórios,Sudeste,1629.19
2023-02-01,784.88,1,Cadeira Gamer,Home Office,Sudeste,234.54
2023-02-02,1013.38,1,Notebook Pro X,Eletrônicos,Nordeste,161.05
2023-02-02,5326.04,2,Notebook Pro X,Eletrônicos,Nordeste,1010.39
2023-02-02,2982.7,1,Webcam HD,Eletrônicos,Nordeste,807.55
2023-02-02,9007.04,4,Teclado Mecânico,Acessórios,Sudeste,1749.49
2023-02-02,9474.29,3,Smart Monitor 27,Eletrônicos,Nordeste,2225.94
2023-02-02,7689.99,3,Teclado Mecânico,Acessórios,Nordeste,1215.43
2023-02-02,2018.26,1,Mesa Escritório,Home Office,Centro-Oeste,470.18
2023-02-03,4888.9,4,Teclado Mecânico,Acessórios,Sul,1152.37
2023-02-03,9410.35,2,Mouse Wireless,Acessórios,Norte,2417.77
2023-02-03,13996.87,4,Teclado Mecânico,Acessórios,Nordeste,1983.11
2023-02-03,9415.07,3,Notebook Pro X,Eletrônicos,Sudeste,2197.15
2023-02-03,8725.32,3,Headset Pro,Eletrônicos,Norte,3048.83
2023-02-03,1627.44,1,Mouse Wireless,Acessórios,Nordeste,263.84
2023-02-03,2403.98,3,Mesa Escritório,Home Office,Sudeste,363.33
2023-02-03,7672.1,2,Notebook Pro X,Eletrônicos,Nordeste,2448.87
2023-02-03,604.29,1,Notebook Pro X,Eletrônicos,Centro-Oeste,141.48
2023-02-04,724.69,1,Teclado Mecânico,Acessórios,Centro-Oeste,144.45
2023-02-04,2745.32,1,Mouse Wireless,Acessórios,Nordeste,608.33
2023-02-04,14556.15,4,Headset Pro,Eletrônicos,Norte,4075.86
2023-02-04,9097.11,3,Headset Pro,Eletrônicos,Norte,2195.83
2023-02-04,2667.63,2,Smart Monitor 27,Eletrônicos,Nordeste,497.31
2023-02-04,14398.4,3,Teclado Mecânico,Acessórios,Centro-Oeste,2672.79
2023-02-04,4128.34,2,Webcam HD,Eletrônicos,Norte,889.66
2023-02-04,6226.51,2,Cadeira Gamer,Home Office,Nordeste,2042.07
2023-02-05,1187.79,2,Mouse Wireless,Acessórios,Centro-Oeste,194.8
2023-02-05,17493.63,4,Mesa Escritório,Home Office,Norte,5825.9
2023-02-05,18407.51,4,Headset Pro,Eletrônicos,Sul,5476.62
2023-02-05,3565.47,1,Teclado Mecânico,Acessórios,Sudeste,492.52
2023-02-05,7738.93,4,Mouse Wireless,Acessórios,Nordeste,907.24
2023-02-05,11125.73,3,Webcam HD,Eletrônicos,Sul,3711.45
2023-02-05,9124.72,2,Mouse Wireless,Acessórios,Nordeste,1192.63
2023-02-05,4925.72,1,Cadeira Gamer,Home Office,Centro-Oeste,1525.62
2023-02-05,8407.41,2,Smart Monitor 27,Eletrônicos,Norte,1538.86
2023-02-05,5284.61,2,Webcam HD,Eletrônicos,Centro-Oeste,1309.63
2023-02-05,1958.6,1,Mesa Escritório,Home Office,Sul,560.28
2023-02-05,8067.96,2,Webcam HD,Eletrônicos,Nordeste,816.14
2023-02-06,6153.08,3,Cadeira Gamer,Home Office,Norte,1441.97
2023-02-06,13867.52,3,Cadeira Gamer,Home Office,Nordeste,3001.28
2023-02-06,11141.27,3,Mesa Escritório,Home Office,Sudeste,2373.7
2023-02-06,782.85,3,Smart Monitor 27,Eletrônicos,Nordeste,256.92
2023-02-06,1928.59,2,Mouse Wireless,Acessórios,Centro-Oeste,433.15
2023-02-06,532.02,2,Teclado Mecânico,Acessórios,Norte,94.63
2023-02-06,2944.88,1,Smart Monitor 27,Eletrônicos,Norte,759.97
2023-02-06,4568.54,4,Headset Pro,Eletrônicos,Sudeste,1045.25
2023-02-06,4809.24,1,Cadeira Gamer,Home Office,Nordeste,659.66
2023-02-06,8634.19,2,Headset Pro,Eletrônicos,Norte,2018.39
2023-02-06,10243.02,4,Webcam HD,Eletrônicos,Norte,2548.94
2023-02-06,2046.86,1,Cadeira Gamer,Home Office,Sudeste,423.08
2023-02-06,18001.86,4,Headset Pro,Eletrônicos,Centro-Oeste,2723.41
2023-02-07,1950.86,1,Notebook Pro X,Eletrônicos,Sudeste,603.09
2023-02-07,1265.92,3,Headset Pro,Eletrônicos,Norte,372.03
2023-02-07,8056.42,3,Mouse Wireless,Acessórios,Norte,1882.09
2023-02-07,2063.74,1,Cadeira Gamer,Home Office,Norte,495.11
2023-02-07,1813.83,3,Headset Pro,Eletrônicos,Sul,333.0
2023-02-08,11372.72,3,Mouse Wireless,Acessórios,Nordeste,1911.48
2023-02-08,9766.79,3,Smart Monitor 27,Eletrônicos,Sul,1974.68
2023-02-08,14690.29,3,Mesa Escritório,Home Office,Sudeste,4553.22
2023-02-08,9986.18,3,Headset Pro,Eletrônicos,Nordeste,1066.26
2023-02-08,4032.16,3,Teclado Mecânico,Acessórios,Sudeste,600.91
2023-02-08,589.74,3,Webcam HD,Eletrônicos,Sul,74.32
2023-02-08,8670.82,3,Mesa Escritório,Home Office,Sul,2790.83
2023-02-08,5068.38,4,Teclado Mecânico,Acessórios,Norte,632.84
2023-02-08,19779.08,4,Headset Pro,Eletrônicos,Centro-Oeste,4960.58
2023-02-08,8336.15,2,Teclado Mecânico,Acessórios,Nordeste,1661.36
2023-02-08,791.3,1,Mesa Escritório,Home Office,Norte,159.52
2023-02-09,2103.73,4,Headset Pro,Eletrônicos,Sul,543.41
2023-02-09,1118.64,1,Teclado Mecânico,Acessórios,Sul,119.28
2023-02-09,4394.58,1,Cadeira Gamer,Home Office,Norte,1145.8
2023-02-09,8948.18,2,Teclado Mecânico,Acessórios,Sul,2723.48
2023-02-09,6982.97,4,Mouse Wireless,Acessórios,Centro-Oeste,2138.72
2023-02-09,8977.34,3,Webcam HD,Eletrônicos,Norte,1499.36
